meet,date,age_category,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
Blue Ridge Open and VA State Weightlifting Championship,2012-05-19,Open Men's 94 kg,Jordan Rosen,92.5,0,0,0,160,0,0,0,160,160
Blue Ridge Open and VA State Weightlifting Championship,2012-05-19,Open Men's+105 kg,Kenneth Ritenour,110.4,0,0,0,146,0,0,0,146,146
Blue Ridge Open and VA State Weightlifting Championship,2012-05-19,Open Men's 105 kg,Michael Marks,101,0,0,0,140,0,0,0,140,140
Blue Ridge Open and VA State Weightlifting Championship,2012-05-19,Open Men's 105 kg,Alex Corwin,104.4,0,0,0,140,0,0,0,140,140
Blue Ridge Open and VA State Weightlifting Championship,2012-05-19,Open Men's 85 kg,Nathan Landy,84.1,0,0,0,130,0,0,0,130,130
Blue Ridge Open and VA State Weightlifting Championship,2012-05-19,Open Men's 85 kg,Nathan Small,84,0,0,0,120,0,0,0,120,120
Blue Ridge Open and VA State Weightlifting Championship,2012-05-19,Open Men's 77 kg,Klinton Miyao,75.1,0,0,0,115,0,0,0,115,115
Blue Ridge Open and VA State Weightlifting Championship,2012-05-19,Open Men's 94 kg,Derek Pontier,93.9,0,0,0,115,0,0,0,115,115
Blue Ridge Open and VA State Weightlifting Championship,2012-05-19,Open Men's 94 kg,David Brown,86.1,0,0,0,102,0,0,0,102,102
Blue Ridge Open and VA State Weightlifting Championship,2012-05-19,Open Men's 94 kg,Benjamin Lowe,93.5,0,0,0,101,0,0,0,101,101
Blue Ridge Open and VA State Weightlifting Championship,2012-05-19,Open Men's 94 kg,Douglas Lord,85.8,0,0,0,93,0,0,0,93,93
Blue Ridge Open and VA State Weightlifting Championship,2012-05-19,Open Men's 62 kg,John Machamer,61.6,0,0,0,91,0,0,0,91,91
Blue Ridge Open and VA State Weightlifting Championship,2012-05-19,Open Men's 77 kg,Paul Healy,73.5,0,0,0,91,0,0,0,91,91
Blue Ridge Open and VA State Weightlifting Championship,2012-05-19,Open Men's 77 kg,Adam Gunter,75.4,0,0,0,91,0,0,0,91,91
Blue Ridge Open and VA State Weightlifting Championship,2012-05-19,Open Women's 58 kg,Melissa York,57,0,0,0,89,0,0,0,89,89
Blue Ridge Open and VA State Weightlifting Championship,2012-05-19,Open Men's 77 kg,Nick Friant,74.4,0,0,0,88,0,0,0,88,88
Blue Ridge Open and VA State Weightlifting Championship,2012-05-19,Open Men's 69 kg,James Chin,68,0,0,0,86,0,0,0,86,86
Blue Ridge Open and VA State Weightlifting Championship,2012-05-19,Open Men's 77 kg,Codie Martin,76.1,0,0,0,84,0,0,0,84,84
Blue Ridge Open and VA State Weightlifting Championship,2012-05-19,Open Men's 85 kg,Francis Bires,81.8,0,0,0,75,0,0,0,75,75
Blue Ridge Open and VA State Weightlifting Championship,2012-05-19,Open Men's 77 kg,Art Donahoe,76.8,0,0,0,74,0,0,0,74,74
Blue Ridge Open and VA State Weightlifting Championship,2012-05-19,Open Men's 105 kg,Reginald Wallace,97.5,0,0,0,72,0,0,0,72,72
Blue Ridge Open and VA State Weightlifting Championship,2012-05-19,Men's 14-15 Age Group 85 Kg,Coleman Clark,82,0,0,0,65,0,0,0,65,65
Blue Ridge Open and VA State Weightlifting Championship,2012-05-19,Open Women's 69 kg,Katie Notarangelo,63.6,0,0,0,60,0,0,0,60,60
Blue Ridge Open and VA State Weightlifting Championship,2012-05-19,Open Women's 63 kg,Elizabeth Jelinek,59.1,0,0,0,52,0,0,0,52,52
Blue Ridge Open and VA State Weightlifting Championship,2012-05-19,Men's 14-15 Age Group 77 kg,Logan Harrison,70.6,0,0,0,46,0,0,0,46,46
Blue Ridge Open and VA State Weightlifting Championship,2012-05-19,Women's Masters (65-69) +75 kg,Elizabeth Henshaw,103.8,0,0,0,45,0,0,0,45,45
Blue Ridge Open and VA State Weightlifting Championship,2012-05-19,Men's 14-15 Age Group 69 kg,Dustin Young,68.3,0,0,0,40,0,0,0,40,40
Blue Ridge Open and VA State Weightlifting Championship,2012-05-19,Men's 14-15 Age Group 50 Kg,Christopher Bradd,47,0,0,0,37,0,0,0,37,37
