meet,date,age_category,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
31st Annual Spartan Open,2012-03-24,Open Men's+105 kg,Aaron Bell,137.3,0,0,0,159,0,0,0,159,159
31st Annual Spartan Open,2012-03-24,Open Men's 105 kg,Paul Jahjah,98.4,0,0,0,147,0,0,0,147,147
31st Annual Spartan Open,2012-03-24,Open Men's 85 kg,Chris Bailey,82.4,0,0,0,144,0,0,0,144,144
31st Annual Spartan Open,2012-03-24,Open Men's+105 kg,Colin Kelly,110.8,0,0,0,140,0,0,0,140,140
31st Annual Spartan Open,2012-03-24,Open Men's 105 kg,Matt Mcmanus,97.5,0,0,0,123,0,0,0,123,123
31st Annual Spartan Open,2012-03-24,Open Men's 85 kg,John Stein,77.9,0,0,0,121,0,0,0,121,121
31st Annual Spartan Open,2012-03-24,Open Men's 105 kg,Levi Richards,103.7,0,0,0,118,0,0,0,118,118
31st Annual Spartan Open,2012-03-24,Open Men's+105 kg,Ryan Sennett,124.7,0,0,0,115,0,0,0,115,115
31st Annual Spartan Open,2012-03-24,Open Men's 105 kg,Sean Richardson,98,0,0,0,113,0,0,0,113,113
31st Annual Spartan Open,2012-03-24,Open Men's 94 kg,Ayaz Khan,90,0,0,0,110,0,0,0,110,110
31st Annual Spartan Open,2012-03-24,Open Men's 77 kg,Matthew Lucas,71.9,0,0,0,105,0,0,0,105,105
31st Annual Spartan Open,2012-03-24,Open Men's 85 kg,Jacob Caldwell,84.1,0,0,0,105,0,0,0,105,105
31st Annual Spartan Open,2012-03-24,Open Men's 77 kg,Stephen Krawiec,76.4,0,0,0,96,0,0,0,96,96
31st Annual Spartan Open,2012-03-24,Open Men's 85 kg,Erdogan Gulari,79.9,0,0,0,92,0,0,0,92,92
31st Annual Spartan Open,2012-03-24,Open Men's 85 kg,Thomas Gish,85,0,0,0,90,0,0,0,90,90
31st Annual Spartan Open,2012-03-24,Open Men's 85 kg,Robert Budai,83.5,0,0,0,84,0,0,0,84,84
31st Annual Spartan Open,2012-03-24,Open Women's 63 kg,Leslie Givens,62,0,0,0,81,0,0,0,81,81
31st Annual Spartan Open,2012-03-24,Men's 14-15 Age Group 62 kg,Storm Miller,56.2,0,0,0,66,0,0,0,66,66
31st Annual Spartan Open,2012-03-24,Open Women's 63 kg,Stephanie Brown,60.1,0,0,0,65,0,0,0,65,65
31st Annual Spartan Open,2012-03-24,Men's 14-15 Age Group +85 kg,Carter Gale,96.9,0,0,0,65,0,0,0,65,65
31st Annual Spartan Open,2012-03-24,Women's Masters (35-39) 48 kg,Carey Bailey,47.2,0,0,0,64,0,0,0,64,64
31st Annual Spartan Open,2012-03-24,Open Women's 58 kg,Patricia Park,54.8,0,0,0,62,0,0,0,62,62
31st Annual Spartan Open,2012-03-24,Open Men's+105 kg,Adam Kiwior,105.2,0,0,0,60,0,0,0,60,60
31st Annual Spartan Open,2012-03-24,Women's Masters (35-39) 75 kg,Heather Mearns,73.4,0,0,0,58,0,0,0,58,58
31st Annual Spartan Open,2012-03-24,Women's Masters (35-39) +75 kg,Bobbie Sage,83.7,0,0,0,57,0,0,0,57,57
31st Annual Spartan Open,2012-03-24,Women's Masters (35-39) 69 kg,Julie Stearn,68.8,0,0,0,53,0,0,0,53,53
31st Annual Spartan Open,2012-03-24,Open Women's 58 kg,Andrea Bolla-Marcos,54.6,0,0,0,52,0,0,0,52,52
31st Annual Spartan Open,2012-03-24,Open Women's 63 kg,Katie VanVechten,61.5,0,0,0,49,0,0,0,49,49
31st Annual Spartan Open,2012-03-24,Open Women's 58 kg,Krystal Cho,57.7,0,0,0,38,0,0,0,38,38
31st Annual Spartan Open,2012-03-24,Men's 13 Under Age Group 56 Kg,ELLIOTT JOHNSON,55.8,0,0,0,27,0,0,0,27,27
